,Front Left,,,,,Front Right,,,,,Rear Left,,,,,Rear Right,,,,,Base,,,,,,Spine,,,,,
Step,Fwd/Back (X),In/Out (Y),Up/Down (Z),Roll,Pitch,Fwd/Back (X),In/Out (Y),Up/Down (Z),Roll,Pitch,Fwd/Back (X),In/Out (Y),Up/Down (Z),Roll,Pitch,Fwd/Back (X),In/Out (Y),Up/Down (Z),Roll,Pitch,Fwd/Back (X),In/Out (Y),Up/Down (Z),Roll,Pitch,Yaw,Joint 1,Joint 2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linear eq.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,80,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Test point,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,90,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.5,
